n.id,name_node_a,n.type,n.category,n.gender,n.age,n.experience
ac894b03f495d68a60f2d786e79aa1e3-a87ff679a2f3e71d9181a67b7542122c,Data Architect,skill,"","",0,null
7d49add0d0c4fa941e927e85ad5226f2-a87ff679a2f3e71d9181a67b7542122c,Developer,skill,"","",0,null
4bc67c9e6001ce92edd195848030cb53-a87ff679a2f3e71d9181a67b7542122c,Technical Leader,skill,"","",0,null
a8cea7ec2709db07e628b80e2dafa2b6-a87ff679a2f3e71d9181a67b7542122c,Data Engineer,skill,null,null,null,null
a1e01b9df0dab2bfd6d9b32e10e397c8-a87ff679a2f3e71d9181a67b7542122c,Busqueda Skill,info,null,null,null,null
f6776d9a7bd892cf529b2bda3ca42d8b-a87ff679a2f3e71d9181a67b7542122c,Docker,technologies,null,null,null,null
322f3c1551e028f7f45933a5c192f85a-a87ff679a2f3e71d9181a67b7542122c,Bases de Datos,technologies,null,null,null,null
7658e020131c329d176f7ad2d46b0c42-a87ff679a2f3e71d9181a67b7542122c,Oracle,technologies,null,null,null,null
f61ef2e9dee2b13b9d5bc95d26cd2ce4-a87ff679a2f3e71d9181a67b7542122c,PostgreSQL,technologies,null,null,null,null
385f6a804a0f4eb24d745b82fe5cc9cf-a87ff679a2f3e71d9181a67b7542122c,Relacionales,technologies,null,null,null,null
e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,technologies,null,null,null,null
9cf5401ebe52d0560ad1e4ae0809e4bb-a87ff679a2f3e71d9181a67b7542122c,Documentales,technologies,null,null,null,null
09d037be8031bba8db90fb2f69c150e0-a87ff679a2f3e71d9181a67b7542122c,Columnares,technologies,null,null,null,null
a220b9927556efa9ee9e3ac4cd5644e0-a87ff679a2f3e71d9181a67b7542122c,ETL,technologies,null,null,null,null
ffeffd6344800bfc7214b6d7ef83ea10-a87ff679a2f3e71d9181a67b7542122c,talend,technologies,null,null,null,null
362da8a51e150638e6981d0771534c8e-a87ff679a2f3e71d9181a67b7542122c,pentaho,technologies,null,null,null,null
263db3933c2cb8e9b139373fdd57defb-a87ff679a2f3e71d9181a67b7542122c,Integracion,technologies,null,null,null,null
de1284aa9ed99ad37c8259c2028b161c-a87ff679a2f3e71d9181a67b7542122c,ODI,technologies,null,null,null,null
bb906c05289c29654b54a94ced2e697c-a87ff679a2f3e71d9181a67b7542122c,Lenguajes,technologies,null,null,null,null
